,1H4,1H6,2H4,2H6,3H6,Ado,Ant,AWW,AYL,Cor,Cym,Err,H5,H8,Ham,JC,Jn,LLL,Lr,Luc,Mac,MM,MND,MV,Oth,Per,PhT,R2,R3,Rom,Shr,Son,TGV,Tim,Tit,Tmp,TN,TNK,Tro,Ven,Wiv,WT
little,14,10,18,3,8,10,9,12,23,17,8,2,20,32,18,5,18,17,16,13,6,15,11,12,20,13,0,20,19,13,12,2,11,11,4,9,12,16,13,5,17,15
set,30,18,17,14,18,8,8,13,5,20,13,3,8,10,23,14,19,7,19,10,9,9,8,6,14,4,0,21,21,10,8,7,7,13,11,15,13,20,12,6,9,10
die,10,18,15,29,13,16,18,12,15,10,22,5,17,4,8,17,9,9,11,15,5,40,12,4,13,11,0,13,35,23,6,12,3,9,15,5,4,19,8,6,5,8
best,6,8,10,11,12,5,25,10,7,18,23,3,21,18,12,13,13,14,22,3,9,9,11,10,17,14,1,5,11,13,17,26,15,19,6,15,9,21,6,9,10,25
earth,28,10,7,13,13,1,22,4,2,7,7,10,7,8,30,7,17,9,8,9,9,2,12,10,6,14,0,34,29,21,1,13,11,10,24,16,3,14,18,18,4,19
young,11,17,23,8,21,13,3,25,29,10,11,0,4,9,17,10,24,6,10,2,12,6,11,24,10,7,0,12,24,24,13,6,6,5,26,3,11,22,12,5,15,14
boy,7,12,17,0,16,11,8,7,8,11,18,2,32,4,3,12,28,105,17,0,3,3,9,16,0,0,0,7,16,12,11,3,12,1,26,2,12,8,9,9,22,25
antony,0,0,0,0,0,0,393,0,0,0,0,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
madam,0,13,1,19,6,6,52,45,3,11,25,0,1,25,12,5,10,27,33,1,3,3,0,15,14,9,0,13,27,23,13,0,47,0,14,0,32,8,1,0,0,11
york,8,69,10,138,126,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,92,60,0,0,0,0,0,0,0,0,0,0,0,0,0
friends,14,13,14,7,26,7,29,13,9,35,11,1,13,14,20,24,11,5,9,4,10,5,11,12,7,7,0,17,33,6,9,3,10,40,20,3,8,10,4,3,5,4
himself,14,5,12,18,14,16,15,17,8,18,14,9,19,14,21,14,12,4,11,17,8,17,7,12,10,9,0,16,11,12,5,2,10,14,5,7,9,10,27,7,14,22
place,9,18,16,15,12,4,11,13,17,8,19,8,7,27,11,14,4,6,25,8,12,27,13,11,26,19,1,6,13,12,7,11,5,8,11,8,10,22,15,3,7,12
none,9,19,13,7,3,23,11,18,12,6,18,13,11,14,13,8,12,12,13,6,13,16,8,14,13,16,2,11,16,15,11,13,6,16,7,8,15,16,14,2,11,26
hold,13,6,17,11,15,11,10,9,4,10,11,10,13,9,32,13,19,16,22,5,11,10,9,11,20,8,0,7,11,17,11,13,9,11,7,2,24,23,17,2,13,13
texts,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
within,16,16,15,10,7,2,7,10,10,15,10,22,10,10,21,13,13,11,17,5,18,19,9,10,18,7,0,15,18,16,12,11,3,6,5,14,7,16,21,6,12,10
eye,9,6,4,3,8,9,6,9,12,7,13,12,12,9,15,6,22,33,11,32,11,2,20,10,10,5,0,14,10,19,5,40,8,2,10,5,11,17,18,21,9,14
soul,14,15,5,20,20,13,2,3,2,3,5,8,15,19,35,3,22,10,3,12,4,12,8,15,33,4,0,26,45,14,1,12,5,6,12,6,16,16,16,0,7,6
thine,10,8,14,20,26,6,17,22,2,13,8,5,12,1,13,4,22,10,25,14,10,6,6,4,10,8,0,13,15,12,9,44,6,19,18,13,7,11,4,13,6,11
gloucester,0,88,16,138,15,0,0,0,0,0,0,0,21,0,0,0,0,0,181,0,0,0,0,0,0,0,0,13,33,0,0,0,0,0,0,0,0,0,0,0,1,0
bring,10,10,12,13,6,13,20,18,14,13,13,9,14,11,12,11,5,4,18,3,9,18,8,11,17,16,0,6,10,11,12,8,9,12,15,18,11,21,21,2,11,19
three,19,5,9,16,11,6,11,8,10,15,15,7,12,7,12,8,6,52,7,2,16,9,11,28,8,8,1,8,6,11,11,8,5,12,3,13,15,14,7,2,21,23
brutus,0,0,0,1,0,0,4,0,0,107,0,0,1,0,1,371,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
